根词名称,行业词数量,长尾词数量
钢丝绳,9271,168601
五金,17643,875416
吊车,7861,302043
工具,13704,4667870
电动葫芦,3812,38874
链条,5096,321213
扳手,8655,233639
电动工具,4279,82490
砂轮,4974,94567
千斤顶,4202,96009
接头,6498,595103
葫芦,9031,1859537
井盖,3817,139890
输送机,5150,83655
升降机,2878,96480
脚轮,2112,24516
输送带,1737,42971
手拉葫芦,1296,8387
滚筒,1754,309588
锯片,1896,54145
世达,1484,78417
升降平台,1489,25749
起重,4710,393226
吊具,1369,27696
电葫芦,934,14524
升降,6659,563706
五金工具,1138,24216
液压千斤顶,886,9571
扭力,2257,77623
切割片,996,18953
吊钩,1110,29070
扭力扳手,1061,11806
皮带输送机,917,12946
输送,8753,247220
提升机,1359,50447
托辊,865,16108
螺旋输送机,795,10378
五金机电,1922,38157
卸扣,714,13627
气动工具,767,7813
索具,1150,19962
磨具,1083,45466
毛刷,1045,35411
五金市场,2077,46103
吊装,1078,117407
万向轮,592,19636
五金机电市场,768,9237
橡胶接头,848,7289
砂轮机,696,14604
五金配件,815,23733
五金件,711,28005
磨片,786,14748
五金厂,584,81803
液压升降机,466,4966
小吊车,531,6770
液压扳手,478,4069
磨料磨具,509,5481
皮带机,406,25273
防水套管,1157,17036
带式输送机,566,9850
砂轮片,720,10392
吊环,725,22463
旋转接头,465,6591
磨料,1074,19649
链板,600,10710
快速接头,572,22206
吊装带,384,3099
伸缩器,524,4809
液压升降平台,369,4661
斗式提升机,343,4759
手扳葫芦,371,1605
移动式,500,46850
柔性防水套管,363,3214
拉马,605,82742
气动扳手,482,5382
输送线,358,8256
吊索具,289,2538
刮板输送机,404,6312
扭矩扳手,491,6697
金刚石砂轮,333,2999
货梯,752,56523
五金展,355,6906
球墨铸铁井盖,329,4110
钢绳,9673,187180
刚性防水套管,318,4024
五金机电城,336,10216
管钳,333,9180
环链电动葫芦,257,1360
丝攻,955,97742
伸缩接头,284,2289
管接头,879,63843
12吨吊车,303,3958
世达工具,391,7491
升降台,352,11374
升降货梯,384,5098
液压拉马,260,2527
风批,273,16034
8吨吊车,239,3949
铸铁井盖,630,10211
五金冲压,513,11754
五金行业,262,4291
滑车,309,16243
输送设备,359,10533
钢丝绳索具,156,816
环链,596,11770
力矩扳手,255,3866
固定式,269,21548
橡胶软接头,210,2367
刮板机,204,6589
输送链,132,1832
登车桥,378,5634
钢丝绳规格,305,4051
五金模具,211,15440
倍速链,152,2977
手动工具,228,3436
网带,493,117882
梅花扳手,290,4732
手动葫芦,219,2699
电动起子,207,2911
拉力计,385,5751
链板输送机,168,1570
冲压件,378,26797
滚筒输送机,271,2306
软接头,362,8101
悬臂吊,199,4022
吊车出租,261,14317
脚轮厂,129,1480
雅洁,257,16792
五金网,221,1508
液压工具,189,2099
油压千斤顶,184,2114
微型电动葫芦,173,1108
小型吊车,167,2067
给料机,376,10699
五金加工,576,24487
螺旋千斤顶,186,2445
导轨式升降机,172,1241
推拉力计,190,2410
滚子链,189,3967
16吨吊车,134,2721
防爆工具,182,2254
门窗五金,366,7893
起重链条,218,1445
皮带运输机,138,2995
铆钉枪,173,4501
移动式升降机,141,1103
复合井盖,310,4231
毛刷辊,159,1036
井盖厂,131,2569
环链葫芦,441,3008
柔性套管,494,5411
辊筒,172,5917
剪叉式,214,3398
铝合金升降机,135,1437
输送链条,126,1158
输送机械,233,5435
球墨井盖,103,2229
磨具磨料,509,5481
五金建材,234,15893
吊车图片,312,9677
测力计,120,15015
输送皮带,1167,19357
绞盘,311,16063
雅洁五金,111,1047
板链,304,10823
巨霸,130,5340
钢丝绳型号,232,2894
五金博览会,160,1147
吊葫芦,569,14259
液压式,108,5698
电缆接头,285,19723
中国五金,464,3721
五金冲压件,125,2347
剪叉,329,10400
斗提机,105,2572
清扫器,112,4139
滚筒线,176,3536
拔轮器,118,1174
传力接头,89,1183
滚子链条,149,1807
防水接头,186,4526
吊钳,208,1899
传动滚筒,119,1452
吊车租赁,143,8910
轴承加热器,114,1941
汽车升降机,136,2330
吊车价格,263,5332
金刚石锯片,153,2472
东莞五金,548,64953
网链,147,45444
树脂井盖,175,2796
勤昌,81,5886
剪叉式升降机,101,1196
液压货梯,109,1301
防爆电动葫芦,93,709
链条索具,125,442
镀锌钢丝绳,110,1738
不锈钢钢丝绳,188,2822
电扳手,240,5620
呆扳手,163,1865
家具五金,233,5120
10吨吊车,116,1553
五金拉手,145,2483
机电城,486,29501
起重工具,79,1044
起重钳,124,715
链条厂,140,3619
手摇绞盘,86,614
钢丝绳价格,217,2691
平衡器,156,5010
电动升降机,128,2515
传送机,84,5221
cbn砂轮,123,1144
网带输送机,83,809
钢丝绳厂,106,1909
液压登车桥,78,809
传动链条,93,1640
橡胶输送带,98,1714
液压升降货梯,80,795
电动工具批发,143,2179
气动螺丝刀,99,987
济宁吊车,324,1620
链式输送机,90,891
倍增器,90,1390
敲击扳手,139,956
液压接头,348,8191
史丹利工具,153,1960
扭力测试仪,172,1451
液压升降台,87,1250
软管接头,136,5183
钢丝绳厂家,217,2177
链条厂家,226,3243
电动提升机,97,1162
起重滑车,85,615
液压螺母,89,1055
斗式,443,66948
不锈钢丝绳,87,1349
输送带厂家,133,2622
锯片铣刀,89,1292
工业脚轮,97,685
机械千斤顶,117,1297
升降舞台,161,2785
扭力计,78,1004
起重葫芦,211,3188
液压平台,60,1341
滚筒输送线,63,782
橡胶软连接,78,1107
气动葫芦,78,593
电动葫芦价格,121,1262
螺丝厂,98,6075
千金顶,63,2069
五金锁具,113,2321
运输带,340,15725
升降梯,107,6768
悬臂,280,52609
升降机械,102,2961
三磨,150,30322
济工,74,40763
凯尼派克,80,492
空心千斤顶,48,607
皮带线,118,4455
电动升降平台,101,1299
水井盖,186,9770
科顺脚轮,51,226
手动泵,140,6476
毛刷厂,73,1754
不锈钢链条,121,1551
升降机厂家,161,2545
五金加工厂,164,9278
条刷,120,28918
拉紧器,60,1655
管道伸缩器,69,684
钨钢铣刀,112,3108
五金制品厂,72,17770
五金加盟,216,1898
爪式千斤顶,69,340
五金螺丝,129,3731
卡套接头,68,2487
五金冲压厂,89,2300
分离式千斤顶,105,618
胶带输送机,67,3014
输送机滚筒,271,2306
移动升降机,227,2241
升降平台厂家,103,980
车载式,69,13370
扭矩测试仪,73,797
电动葫芦厂家,114,897
奇力速,64,1057
旋转吊环,77,414
手拉葫芦价格,87,388
防盗井盖,111,1026
永磁起重器,58,696
电动千斤顶,145,1596
无接头,40,734
液压拉伸器,68,577
导轨升降机,231,1725
升降设备,108,4291
电动工具配件,82,1043
扳手工具,78,1041
吊车视频,192,6433
螺旋给料机,54,1106
固定式升降机,62,643
搬运小坦克,44,230
液压管接头,98,2536
毛刷条,52,512
自行式升降机,51,474
