根词名称,行业词数量,长尾词数量
木工坊,194,7139
平刨,155,4214
燕尾榫,146,3291
木工板,206,52149
拼板,83,30480
框锯,99,764
木工网,115,12759
细木工板,42,14829
方榫机,33,337
贴钢,25,51314
棕角,8,1196
木井坊,4,85
木工手工刨,15,374
锯钮,6,45
榫友,3,15
榫位,2,15
吴新斜,8,33
开隼机,2,87
真四轴,3,202
吴新裁,7,30
木工diy,522,3895
刨刃子,7,59
四轴刀,19,1195
锯不直,21,192
线勒子,6,88
木工论坛,230,1932
细木工,65,22547
榫霸,4,19
台锯,1524,39128
带锯,499,62273
刨子,441,14897
圆锯,889,35282
旅刃,45,286
木工板品牌,13,869
框锯用,6,34
锯改,71,2708
砂柱机,2,60
woodfast,8,122
deskproto,4,223
木工爱好者,1025,5760
电圆锯,663,15760
压刨,299,11004
刨刃,160,2302
锯好,45,4858
电圆据,4,68
手动木工工具,39,337
园锯,24,1769
拼板胶,5,4046
开榫台,10,66
锯装,28,1326
木胶,4,13707
artcam2017,12,413
artcam2018,5,367
