根词名称,行业词数量,长尾词数量
齿轮,10111,742905
减速,4828,435163
减速机,2732,155604
同步带,4040,37495
油泵,1771,348416
齿轮泵,1824,32230
同步带轮,1356,11910
蜗轮,620,29864
减速器,738,78436
齿条,899,30855
链轮,738,52850
同步轮,2153,27144
齿轮箱,667,33358
齿轮油泵,507,8586
伞齿轮,417,5948
锥齿轮,573,20700
齿轮减速机,593,9856
带轮,1970,159705
蜗轮蜗杆,361,16559
htd,268,4510
减速电机,737,30752
螺杆泵,396,18972
蜗杆减速机,127,4482
减速箱,325,18726
齿轮加工,702,15592
摆线针轮,129,6301
多楔带,181,2070
齿轮齿条,176,9408
行星减速机,179,7045
螺旋伞齿轮,151,1374
齿轮减速器,221,11191
摆线减速机,190,7347
同步带传动,216,1941
摆线,384,19414
磨齿,359,45292
同步皮带,178,2695
导热油泵,135,1143
蜗轮减速机,156,4232
齿轮厂,135,8325
齿轮减速电机,164,1845
高粘度,130,4544
沥青泵,95,658
同步带规格,204,1208
丝杆升降机,22,1753
液压齿轮泵,120,1952
热油泵,207,2225
传动带,77,4094
节线,59,9131
圆弧齿同步带,108,676
涡轮减速机,67,2312
硬齿面,126,2692
螺旋锥齿轮,117,1355
减速机型号,94,3249
链轮厂,63,601
齿轮加工厂,138,2040
rv减速机,62,3132
减速机厂家,100,3681
三螺杆泵,66,845
渣油泵,53,363
聚氨酯同步带,92,416
伞齿,119,2399
齿轮厂家,93,1728
小模数齿轮,85,1045
行星减速器,94,3508
磨齿机,120,7311
弧齿,382,5652
硬齿面减速机,61,1072
同步带轮规格,72,398
圆弧齿轮泵,45,334
大齿轮,76,6398
直流减速电机,76,2377
圆柱齿轮,105,13126
ycb,40,892
减速马达,79,2052
同步带型号,49,438
螺旋齿轮,352,6170
离心油泵,71,954
同步轮规格,136,861
斜齿轮减速机,64,1034
高粘度泵,112,1040
内啮合齿轮泵,51,568
电机减速机,91,6999
锥齿轮减速机,44,413
摆线针减速机,99,5024
kcb齿轮泵,112,689
变速机,56,1232
齿条加工,75,915
zyb,37,884
同步带参数,136,933
蜗杆减速器,48,2343
nyp,27,329
重庆齿轮箱,36,369
微型齿轮,117,1285
双面齿同步带,39,213
船用齿轮箱,42,1810
双螺杆泵,28,833
同步带厂家,105,1005
yyc,31,1207
不锈钢齿轮泵,31,357
橡胶同步带,44,503
高压齿轮泵,43,629
高温油泵,84,999
减速齿轮箱,88,1001
齿轮加工厂家,39,557
齿轮减速马达,30,403
节径,39,5436
传动齿轮,411,30485
链条链轮,76,4325
减速机电机,35,859
减速机厂,42,3900
微型减速机,49,591
链轮链条,76,4325
稠油泵,25,146
同步带计算,232,2037
蜗轮减速器,39,1425
高温齿轮泵,34,171
微型减速电机,60,908
高粘度转子泵,16,217
润滑油泵,21,2378
高温导热油泵,18,170
丝杠升降机,1,592
五同,19,16945
yhcb,17,195
泊头齿轮泵,44,207
减速电动机,44,1366
盖茨同步带,29,244
行星齿轮箱,27,555
伺服减速机,19,2145
摆线齿轮泵,21,155
机械齿轮,108,8370
汽车同步带,24,96
不锈钢泵,95,8133
同步带轮计算,88,704
微型电机,110,12670
无级变速机,13,268
同步带轮型号,44,275
上海减速机,46,1502
粉末冶金齿轮,27,564
精密减速机,32,935
船用泵,44,1701
进口同步带,25,131
k系列减速机,23,348
特种泵,22,503
蜗轮减速箱,13,527
罗茨油泵,13,151
电机减速器,34,2923
habasit,11,154
点火油泵,9,132
高压齿轮油泵,13,425
哈伯斯特,9,65
盖奇,13,9341
淄博减速机,45,799
微型减速马达,11,85
r系列减速机,13,269
螺旋锥减速机,44,306
贝递同步带,7,32
宁波同步带,40,173
f系列减速机,15,163
微型直流电机,6,861
中硬齿,17,131
海鸿泵,18,73
yhb,5,478
防爆油泵,20,628
自吸油泵,19,701
不锈钢转子泵,14,222
ry导热油泵,6,80
小型减速电机,20,302
减速机支架,2,178
YYC齿条,21,123
硬齿,148,11236
北弘泵,5,17
滑片泵,26,679
传动齿轮箱,19,527
非标减速机,10,213
煤焦油泵,6,17
楔轮,13,269
楔带,35,665
进口皮带,12,1083
螺伞,35,1219
增压油泵,12,520
兆威,5,2582
油泵厂家,31,1745
泰邦泵,7,30
利德鑫,4,633
减速机大全,13,495
同步齿轮带,4,73
步轮,3,7260
重泵,3,4564
8YU,35,254
3GR,12,967
螺伞齿,27,416
浙江齿轮厂,4,144
齿箱,801,55807
渣泵,12,9408
同带,16,10334
此轮,5,1529
高粘泵,2,44
S5m,60,732
14m,65,2777
2cy,74,442
htd5m,34,198
htd8m,40,198
htd14m,19,84
kcb83.3,16,49
kcb300,15,82
3qgb,12,70
kcb200,9,97
kcb55,12,90
htd20m,6,21
3gr85,4,15
3gcl,3,11
rpp5m,3,18
rpp8m,2,20
3gr25x4,2,5
htd5,1,8
std3m,1,9
bwcb,3,19
高温油泵厂家,4,42
特泵,3,6334
htd14,2,9
zyb55,3,9
轮泵,2334,9533
s8m,78,549
htd3m18,4,25
轴斜齿,36,281
罗茨转子泵,5,31
台湾减速机,15,1359
辊道电机,1,557
at10,83,2066
25mxl,2,4
wpwko,1,51
楔数,3,66
s4.5,1,84
kcb633,3,16
zyb18.3,1,4
鑫纪源,1,75
htd3m,30,139
s14m,12,57
swl2.5,3,36
swl50,5,25
swl5,1,39
jrss,4,65
rv25,2,175
nmrv90,0,64
wqcb,2,8
sbd75,0,15
swl1,1,27
wpdz,0,23
wpda,0,124
nmrv063,1,103
rv50,1,244
nmrv63,1,66
rv130,2,309
rv63,1,181
