根词名称,行业词数量,长尾词数量
设备,111560,7270908
轴承,47829,975972
型号,67060,3034734
电机,108244,3351897
仪器,77719,1000685
电缆,63071,1574178
温度,57583,3246232
测量,54857,1782999
plc,32194,830272
变压器,39763,852284
变频器,45934,469174
阀门,49766,625804
开关,81014,3195205
水泵,52475,925829
传感器,74073,993227
自动,60876,10055597
压力,63696,2234835
电流,39952,1488818
工作原理,26093,593046
接线,49251,1597153
测定,35618,755700
高压,47403,1693051
电源,49042,2510942
电容,36147,937791
装置,26611,851443
报警,38664,1401712
试验,61945,1488183
仪表,38844,1115949
电阻,49978,942654
模块,24729,1286036
实验室,19842,885880
电气,21482,1771214
风机,38865,1097884
发电机,26275,776642
光纤,23516,748050
防爆,30856,410628
测试仪,33961,182772
控制器,20591,566151
空压机,24155,280421
真空,44659,882688
检测仪,32081,213158
液压,27735,828891
继电器,24433,440851
电线,15609,1148689
试剂,26680,390164
直流,27064,641495
电磁阀,20329,220450
红外,30045,724648
分析仪,31409,173577
选型,16063,185179
显微镜,20550,221443
原理图,10624,458200
接地,17500,611468
电表,19403,504298
生物,22882,4357116
三相,18853,499789
断路器,18781,260573
压缩机,13149,472927
高温,17893,958222
接头,19854,595103
过滤器,21136,282217
气动,22997,315801
减速机,15067,155604
试剂盒,13605,79339
法兰,17173,522879
超声波,20837,280802
自动化,12043,696407
脉冲,12153,301266
荧光,15073,491274
水表,15813,315046
过滤,37724,950020
密封,18749,534986
电子秤,11345,141437
调节,19898,1535043
加热,22247,1145784
流量计,29734,183478
低压,12189,581964
压力表,14665,146271
校准,11806,257022
二极管,10703,227284
电感,10571,187371
电动机,9183,302014
便携式,10365,139936
气缸,10612,185118
测定仪,14216,57521
计量,15813,691707
球阀,21217,130668
硬度,15882,446965
万用表,11807,209391
培养基,7126,117181
伺服,20444,300010
抗体,6223,541493
振动,15834,406339
样本,8433,625224
真空泵,14001,95725
离心机,13717,76362
地磅,13868,73628
编码器,8688,110547
报警器,13373,177311
贴片,16403,249520
静电,12000,382579
蓄电池,12265,341519
探头,8099,155324
步进电机,5407,105387
污水,19884,1043891
安捷伦,8726,47621
端子,11235,189806
电极,8842,205828
紫外,8634,127334
示波器,9126,104409
马达,8197,391546
潜水泵,8369,103644
全站仪,9205,138630
活性炭,7032,156040
离心泵,10162,76888
光缆,7846,173857
连接器,7141,108042
变频,57711,932047
测量仪,13929,101244
分离,9657,857176
废水,4297,185273
岛津,7622,56322
伺服电机,7084,96707
离子,20250,1097510
电磁,38947,1084861
检定,4279,80821
超声,27702,723097
定量,5577,216585
SKF,5728,28919
led显示屏,5186,104722
试验机,17532,58903
湿度,15678,330907
