根词名称,行业词数量,长尾词数量
园林,64024,1293709
景观,49044,902132
绿化,23298,888486
景观设计,14059,145486
苗木,13297,242184
园林绿化,5831,123957
园林景观,6001,67224
风景园林,3109,51549
花木,2891,367444
园林设计,3782,42085
假山,3677,122599
园林工程,2759,53150
园林景观设计,1617,12832
园林公司,8545,131276
园林植物,1592,20886
雪松,1623,68301
园林绿化工程,1247,20545
国槐,1776,25901
屋顶花园,1302,16419
绿化工程,2877,77135
红叶石楠,1401,13512
绿化苗木,1331,17707
中国园林,1305,13468
绿化养护,1391,54721
庭院设计,2543,33712
广玉兰,972,20211
滨水,647,56949
苏州园林,798,47463
苗木基地,941,14871
绿化设计,1930,29559
景观设计公司,1437,12649
屋顶绿化,681,7506
红叶李,577,6343
苗木价格,1184,11161
景观规划设计,621,6593
大叶黄杨,729,5862
景观设计师,595,7381
园林专业,1229,39241
景观园林,7411,82682
绿化公司,2485,50514
园林施工,617,11425
景观工程,1762,43188
景观公司,3912,46377
景观手绘,1772,13091
园林景观工程,593,8964
景观规划,1121,14995
垂直绿化,479,5224
园林建筑,694,11690
苗木网,622,3352
园林绿化公司,1150,19595
别墅庭院,1134,18598
垂柳,511,21398
别墅花园,808,45487
园林规划设计,448,4113
景观石,471,9373
美国红枫,470,6092
庭院景观,1191,10975
庭院景观设计,487,3647
苗圃基地,396,7122
私家花园,355,5039
立体绿化,343,4492
榆叶梅,338,6191
园林规划,761,8111
公园景观设计,429,3647
花园设计,1531,29404
奥雅,295,72419
苗木求购信息,435,1299
杭州园林,777,8346
北京园林,1835,20506
园林绿化养护,326,8139
园林养护,815,21978
园林招聘,1897,32637
花卉苗木,243,6622
滨水景观,341,4149
风景园林设计,246,3194
鸡爪槭,241,3986
别墅庭院设计,444,5201
法国冬青,237,2294
园林设计公司,493,3590
花木网,272,1232
苗木求购,785,2603
别墅景观,940,7664
园林绿化设计,278,3629
园林景观公司,1142,10261
塑石假山,238,1925
苗木交易,269,1656
生态园林,255,6665
小区景观设计,286,2954
草图大师模型,760,21507
雪松价格,317,1812
绿化园林,6280,132940
园林网,370,2079
园林公司招聘,472,10626
国槐树,287,4481
景观园林设计,194,1664
塑石,358,26610
别墅景观设计,365,2257
园林设计师,194,2174
园艺公司,547,13867
别墅庭院景观,203,1467
蜀桧,185,1071
苗木花卉,149,3521
别墅花园设计,318,2908
大叶黄杨球,142,832
