根词名称,行业词数量,长尾词数量
水产,35702,435214
养殖,40650,1639438
水产养殖,6687,64659
对虾,10000,66245
水产品,4068,72178
养虾,7719,97578
南美白对虾,2833,13629
渔业,3546,125839
虾苗,5066,37747
鳗鱼,1737,69797
河蟹,1890,49587
白对虾,4081,20118
水产批发市场,1528,14563
通威,1040,68507
弧菌,877,11897
肥水,858,23345
水产局,614,9373
小龙虾养殖,1851,23095
罗氏沼虾,670,3219
龙虾养殖,3913,44407
水产批发,2798,27645
台湾泥鳅,915,3171
海产品,799,40786
对虾养殖,1588,8330
淡水养殖,1207,9136
海产,1365,84029
中国水产,1194,7174
养龙虾,2021,36205
网箱养殖,822,7317
水产饲料,573,4768
鱼药,1278,101794
渔药,464,4264
蟹苗,876,7390
养殖小龙虾,1851,23095
泥鳅苗,1047,5668
小龙虾批发,597,8060
水产品批发,456,4354
加州鲈鱼,410,2191
龙虾批发,1232,15598
鱼病,1691,40229
泥鳅养殖,1299,12525
草鱼价格,631,2910
龙虾苗,1418,15520
养殖龙虾,3913,44407
养殖虾,8727,75751
小龙虾价格,699,7784
螃蟹养殖,711,6340
车轮虫,307,1297
龙虾养殖基地,450,4954
改底,544,12984
龙虾价格,1428,17373
草鱼苗,597,5175
小龙虾苗,692,6360
黄鳝养殖,701,7654
纤毛虫,271,2129
螃蟹价格,534,5568
循环水养殖,327,2796
水产网,283,939
养螃蟹,541,12121
水产价格,1317,6866
沼虾,905,6473
伊乐藻,285,2463
高位池,208,879
河蟹养殖,401,2219
水产养殖网,195,944
虾料,2291,32847
苗种,276,8277
鱼养殖技术,629,4691
养殖泥鳅,1299,12525
草鱼养殖,473,3473
海参养殖,460,5534
蜕壳,227,4783
甲藻,203,2195
罗非鱼苗,264,1042
养黄鳝,332,7433
养殖鱼,5515,58932
鳗苗,554,2726
沙塘鳢,189,1574
底改,544,12984
鳗鱼养殖,262,1613
倒藻,198,707
淡水鱼养殖,309,2446
白便,209,8069
水产业,211,4171
石斑鱼养殖,357,1685
通威饲料,314,5411
淡水龙虾,477,3087
利洋,319,14428
水产加工,530,7891
水产养殖技术,244,2077
放苗,507,13824
水产招聘,1056,8935
渔业养殖,231,4010
养殖螃蟹,711,6340
鱼价,509,13348
养殖黄鳝,701,7654
潜江小龙虾,259,3280
标粗,167,6218
罗非鱼养殖,301,1667
斑节对虾,138,769
斑点叉尾,194,1113
对虾价格,438,1669
偷死,211,2101
大棚养虾,216,1051
网箱养鱼,180,4019
养虾技术,354,2322
水产养殖业,123,1874
罗非鱼价格,257,934
龙虾养殖技术,292,2697
潜江龙虾,550,7500
黑鱼养殖,324,3044
