根词名称,行业词数量,长尾词数量
有色金属,5656,61085
铝锭,5616,37382
金属,11852,2325302
铜价,4605,47127
有色,7894,233492
铝锭价格,2908,10208
有色金属网,926,3089
lme,1128,9004
废铜,4063,44745
电解铜,1119,11055
废旧,972,339350
废铁,896,70771
铝价,3140,21585
废铜价格,2271,13174
价格走势,3440,184096
铝锭价,1601,7428
铜价格,6107,155306
价格走势图,1786,40690
精矿,757,20714
长江现货,762,3215
铅价,581,4311
废铝,1416,31791
长江铝锭,1201,4687
上海有色金属,932,3041
长江铝锭价格,684,2202
今日价格,2968,134770
中国有色金属,387,2675
铅价格,1122,11626
锌锭,472,4838
铝价格,5608,115010
镍价,526,3625
长江有色,701,2621
铜陵有色,376,6424
金属网,1666,13123
铜价格走势图,457,1704
铜的价格,6107,155306
有色金属价格,750,2476
上海金属网,715,2364
lme铜,359,1450
锌合金,405,43581
南海灵通,588,3103
现货价格,239,7048
金属价格,2203,26002
长江铝锭价,360,1719
废旧金属,379,7683
铜材,287,19626
现货铜,774,3882
长江有色金属,457,1653
锌价,342,7326
废铝价格,649,5261
南海灵通铝锭,381,1796
铝锭价格行情,242,782
长江铝价,744,3108
电解铜价格,345,1407
废铁价格,579,13467
今日铜价,521,1821
上海有色,1210,4446
废铜价格行情,313,1205
锌价格,1215,41111
锡价,332,32803
电解镍,227,2870
长江铝,1891,7570
镍铁,233,12747
铜精矿,188,3769
今日铝价,330,1233
铜价走势图,206,769
长江铜价,418,1791
废铜价,325,2100
铝锭价格走势,223,672
镍价格,1009,7530
铜价走势,438,2072
长江现货铜价,167,725
富宝,324,64185
南海铝锭,766,3716
上海金属,1551,25776
锌锭价格,160,789
今日报价,144,6288
铅锭,164,2075
铝材价格,214,5806
废金属,214,6583
铝合金价格,162,3020
现货价,105,1384
今日废铜价格,536,1802
中国有色,557,5613
阴极铜,144,1748
上海现货,293,2665
有色金属行业,159,2237
铜价格行情,487,2450
锡价格,754,48121
南海铝锭价格,246,1090
锌合金价格,103,661
伦敦铜,236,1359
铝的价格,5608,115010
废铜行情,701,2668
废铜回收价格,234,2459
南海铝锭价,399,1975
中国金属,779,13685
铜回收,754,18989
钨精矿,110,1306
lme镍,120,546
长江金属网,368,1372
全球金属网,119,305
长江现货铝锭,118,483
长江金属,688,2903
镍板价格,146,598
金属行情,852,5138
稀土价格,357,3386
上海有色网,617,1851
铝价格走势图,331,1168
废铁价格行情,131,1243
废铜最新价格,360,1353
铅的价格,1122,11626
金属报价,433,3216
今日铝锭价格,332,871
镍的价格,1009,7530
铜材价格,114,601
现货铜价,260,1153
镍价格走势图,129,374
有色金属行情,369,1113
现货行情,167,2872
国际铜价,108,626
南海有色,122,405
废铜的价格,2271,13174
废旧金属价格,106,448
lme铝,109,508
废铁行情,300,3223
钼精矿,77,1021
废铜回收,391,8444
lme锌,80,432
上海铜价,334,1289
氧化铝价格,134,1575
不锈钢价格,328,71081
钼价格,299,3176
广东南储,64,231
a00铝锭,78,362
铝价走势图,91,316
今日铜价格,944,3362
铜价行情,118,506
锡的价格,754,48121
