根词名称,行业词数量,长尾词数量
农药,46691,588648
除草剂,11929,125784
杀菌剂,3517,32288
杀虫剂,3371,74591
草甘膦,3470,28975
原药,1696,39366
吡虫啉,1586,11957
农药厂,1143,9737
农化,1629,18010
病虫害,1981,89751
戊唑醇,1150,5890
咪鲜胺,1094,5223
草铵膦,1105,6423
嘧菌酯,1011,5463
拌种,946,7767
中国农药,1346,6084
菊酯,2391,35220
吡唑醚菌酯,661,3570
草胺,2864,27909
辛硫磷,705,6619
噻虫嗪,683,4694
种衣剂,599,3741
植保,1295,56300
百菌清,525,4984
农药公司,1840,10893
生物农药,596,4932
代森锰锌,553,5305
莠去津,461,4278
恶霉灵,606,5351
丙环唑,531,3340
农药价格,554,2336
苯醚甲环唑,457,3002
农药厂家,454,1831
芸苔素,749,7379
二甲戊灵,417,3582
醚菌酯,1054,5323
玉米除草剂,993,11732
地下害虫,419,4304
三唑酮,412,2870
氟环唑,410,1740
敌草快,355,3904
硝磺,303,2686
氯氟氰菊酯,421,5547
甲维,1344,25371
三环唑,314,1601
农药销售,587,6830
甲霜灵,422,2809
小麦除草剂,525,3561
草甘磷,304,5898
药肥,1058,272092
烯酰吗啉,256,1862
己唑醇,282,1378
甲霜,650,6979
灭多威,249,1831
杀螨剂,228,1450
农药信息网,304,1255
螺虫,239,10540
农药杀菌剂,287,1325
增威,173,13426
农药杀虫剂,251,1282
禁用农药,267,3127
烯啶,234,1610
烯酰,450,7781
芸苔素内酯,207,2363
烯草,204,2777
农药网,1007,4827
霜脲氰,182,965
腈菌,444,2486
海利尔,208,3455
灭幼脲,147,1253
异菌脲,158,1037
草铵,1324,15131
丙草胺,511,5207
霜霉威,209,945
噻菌,339,2319
五氟磺,148,1081
咯菌腈,146,874
麦草畏,139,803
乙螨唑,257,1539
玉米田除草剂,173,1388
呋虫胺,135,1384
氯吡嘧磺隆,128,657
农药生产厂家,143,807
噻虫,1179,8599
乙氧氟草醚,116,1383
氟唑,940,6153
草甘膦价格,223,1069
嗪草酮,128,801
氰烯菌,144,498
环唑,1812,11487
草醚,930,7791
氟苯虫,100,364
植保站,136,3738
丙硫菌唑,115,746
氯吡脲,158,2216
已唑醇,107,623
二磺隆,97,667
烟剂,515,17936
吡氟酰草胺,70,307
嘧菌,1307,6908
烯唑醇,151,772
稻清,80,987
小麦田除草剂,94,487
氟菌,556,5412
溴氰虫,102,584
咪鲜,1195,6779
好收成,83,2102
克胜,105,13416
兴农,119,50140
异恶草松,66,554
中国农药网,292,1198
农业部农药,129,1678
辛酰,78,1602
化学农药,66,1452
瘟灵,199,1811
氟唑菌,247,1000
丙环,636,36867
精喹,461,4807
