根词名称,行业词数量,长尾词数量
化工,28998,2493405
msds,3923,66721
甲醇,5279,255718
cas号,1282,23789
盐酸,2673,579267
硫酸,5685,771073
乙酸,3972,166993
甲苯,3339,130016
苯酚,1874,82723
乙醇,3018,310760
乙二醇,2477,78283
乙烯,7023,386634
丙酮,2304,91679
试剂,2344,390164
煤化工,1535,44649
丙烯,5562,309395
醋酸,2578,198700
苯胺,1992,54495
乙酯,4682,116939
储罐,1800,122486
二氯,2263,94148
反应釜,1589,41689
丙烯酸,2095,85885
苯乙烯,1349,51227
硝酸,1942,410798
聚氨酯,1459,193834
环氧树脂,1003,85929
磺酸钠,951,16280
硬脂酸,959,25905
丁酯,1801,37862
钛白粉,830,26514
精细化工,713,39383
化工原料,652,23361
二甲苯,891,33443
叔丁基,759,12090
化工设备,766,27936
苯甲醛,788,24306
异丙基,497,6973
异丙醇,690,21073
片碱,630,41816
化学结构式,221,9937
化工产品,632,25804
乙酸乙酯,755,36924
助剂,762,52051
丙醇,1319,37121
苯乙酮,420,6834
环己烷,512,18202
化学品,418,220744
四氢呋喃,424,10304
乙二胺,529,12694
化学试剂,383,37114
化工企业,626,94389
纯碱,463,34213
环氧丙烷,543,10392
双氧水,392,101663
甲胺,1474,74254
聚乙二醇,438,19515
聚醚,546,28250
中国化工,653,15105
二氯甲烷,402,16925
萘酚,347,6590
聚乙烯醇,426,19168
乙酰基,343,4725
精馏,878,44280
环己基,267,3200
中间体,462,18118
三氯,1131,43894
化工行业,420,27680
芳烃,607,24232
二苯基,567,7133
环己酮,349,8752
溴代,447,9512
甲醚,994,23495
精馏塔,394,22237
抗氧剂,346,8781
烧碱,321,34288
吡咯,690,15939
吡咯烷酮,292,6199
化工网,416,3455
三乙胺,326,9918
二甲酯,513,10288
烯丙基,369,4146
戊烯,360,6238
苯甲醇,477,12684
己二酸,254,6688
甲基丙烯酸,514,11283
环己烯,217,6910
乙酰丙酮,228,4812
二甲胺,253,5757
基硅烷,641,6971
酚醛树脂,305,17079
羟乙,352,9198
冰醋酸,281,10734
戊基,248,2446
石脑油,240,9672
苄胺,227,3752
苯酐,338,5964
促进剂,381,12477
化工品,241,20029
乙醇胺,701,17343
正丁醇,203,9199
乙酰胺,339,8858
