根词名称,行业词数量,长尾词数量
化肥,7950,257177
复合肥,6188,115609
尿素,3976,284218
肥料,2836,286192
二铵,1208,21496
复合肥价格,1062,7021
尿素价格,1337,7753
钾肥,671,31880
撒可富,427,2617
氮肥,385,27128
磷肥,344,22727
氯化钾,341,52867
化肥价格,817,5269
磷酸二铵,352,6926
中国化肥,291,1850
中化化肥,181,2389
复合肥料,162,4450
肥料价格,230,3469
磷酸一铵,175,3334
心连心化肥,140,1547
硫酸钾复合肥,171,2761
二铵价格,312,1246
尿素行情,113,539
史丹利化肥,116,1451
化肥销售,176,5784
中国化肥网,98,310
钾肥价格,153,906
红四方复合肥,95,477
化肥厂家,98,1797
一铵,311,8022
磷复肥,76,923
尿素价格行情,158,511
化肥价格行情,103,371
化肥网,311,1962
复合肥报价,99,434
磷肥价格,85,418
释肥,390,14860
磷酸二铵价格,79,397
化肥行情,175,738
肥料公司,113,7514
肥效,46,3899
氯化钾价格,83,611
液氨价格,64,639
复合肥的价格,1062,7021
硫酸钾肥,51,1208
尿素日报,26,365
尿素报价,99,468
硫酸铵价格,53,517
化肥报价,50,315
尿素价格走势,70,311
磷矿石价格,45,308
肥料网,73,1087
氯基,19,10156
肥料品牌,57,777
化肥专用管,24,233
二铵价格行情,51,141
今日尿素价格,145,426
中肥,759,179359
氯化铵价格,29,362
失肥,118,3182
复合肥料价格,18,249
碳酸氢铵价格,29,180
肥料报价,21,202
嘉磷丹,15,64
磷酸二氢钾,10,26105
化长山,10,320
中肥网,24,2733
腐植酸肥料,14,1019
化肥出厂价格,9,43
叶面施肥,10,1040
氯化钾报价,12,63
农化服务,8,546
钾肥报价,11,44
磷酸二铵报价,7,30
麦其尔,4,78
沃利沃,1,16593
硫铵价格,77,737
开磷二铵价格,16,31
复合肥加盟,14,42
最新化肥价格,5,13
硫磺的价格,79,1282
山东化肥厂,29,622
买肥网,9,240
磷肥的价格,85,418
今天尿素价格,31,101
巴特旺,4,39
中国复合肥网,8,40
肥网,496,103616
控肥,424,26923
鲁西肥,147,2927
国肥业,15,469
磷一铵,9,277
合三铵,13,203
纯硫钾,35,831
钾价,20,1724
磷肥报价,3,18
卖化肥的网站,2,15
当前尿素价格,8,29
磷复,77,1296
肥企,466,39915
日晋开,3,18
尿素尿素,5530,549584
年洋丰,11,260
