根词名称,行业词数量,长尾词数量
天然气,11556,1411031
天然气公司,3801,111407
燃气公司,1442,162126
石油天然气,1096,32311
天燃气,1108,107799
中石油,930,348541
中国石油,1008,239827
液化天然气,413,37890
武汉天然气,716,13003
秦华天然气,281,3031
油改气,330,58129
中国天然气,841,15721
中国石油天然气集团公司,168,1670
西安油改气,328,961
天然气管道,96,65022
中国石油天然气集团,242,2145
天然气工业,204,8132
秦华,85,12443
点供,66,5910
汽车油改气,59,7714
lng天然气,96,7298
压缩天然气,46,5739
中石油集团,80,3374
天然气设备,104,5570
燃气发电机组,52,2247
沼气发电机组,46,809
天然气报警器,39,7355
石油集团,395,21940
江西天然气,24,613
中石油公司,29,2832
中国石油公司,26,2112
沼气发电机,71,2067
cnpc,19,1251
中石油官网,48,1674
中国石油官网,55,1739
天然气交易,23,1307
天然气锅炉,14,20124
天然气管,158,94155
油气储运,5,7822
中石油招聘,31,10683
中油公司,4,371
中国石油股份,97,2568
夭气,4,3475
贾化斌,2,24
气厂,96,18119
中石油招聘网,1,355
中石油网站,2,140
气网,299,23988
天然气分析仪,40,263
成都燃气公司,158,1746
燃气发电机,76,4619
中国石油网,1,229
天然气电话,1353,66176
报警器,216,249379
西蓝,64,37525
煤气报警器,25,5687
燃气加气站,9,2555
中国燃气网,19,333
改气,736,204258
燃气报警器,59,25603
中国石油天,2,430
燃气,7003,3716692
停气,120,29225
石油管道,104,24443
石油公司,123,60483
工业燃气,21,3476
色谱分析仪,22,1694
cng加气机,11,915
石油企业,32,29027
中国石油勘,1,26
天然,13602,3245299
天然气发电,144,8586
储运,16,63870
液化气报警器,18,749
煤气探测器,4,658
中国油田,16,10868
甲烷检测仪,4,1380
燃气检测仪,13,3227
沼气发电,147,11319
