根词名称,行业词数量,长尾词数量
光伏,63261,782030
太阳能,30978,884520
新能源,28799,1181876
电动汽车,15859,361187
新能源汽车,9222,287845
光伏发电,12365,140164
光伏电站,6682,75912
太阳能发电,4619,43781
纯电动汽车,2196,35273
新能源车,12986,423401
逆变器,4814,143051
光伏组件,2559,28217
分布式光伏,2604,24325
纯电动,6251,120612
太阳能光伏,3269,34630
太阳能路灯,2099,39217
光伏逆变器,1683,12824
光伏补贴,2626,23703
纯电动车,1124,22714
光伏板,2524,41777
光伏扶贫,1457,28915
北汽新能源,1124,38622
光伏企业,1820,18260
多晶硅,1071,21981
太阳能热水器,958,81178
太阳能电池,1954,47823
太阳能板,3028,83040
光伏产业,1148,11816
光伏发电项目,865,10044
电动轿车,1004,32211
光伏太阳能,3269,34630
可再生能源,708,15980
电动汽车价格,1157,11095
光伏支架,1000,14192
太阳能电池板,770,15324
光伏发电站,654,7795
光伏行业,738,8543
光伏并网,1488,14744
光伏电池,912,11869
新能源电动车,553,11219
光伏发电补贴,805,6892
新能源客车,666,10342
风能,563,114329
光伏新能源,721,6691
电动汽车补贴,594,5818
比亚迪电动,1546,21904
混合动力汽车,513,21270
清洁能源,468,31096
光伏发电系统,592,6192
光伏科技,574,10873
光伏系统,1460,15994
电池片,630,29308
北京新能源,1513,37779
银隆新能源,406,4305
电动客车,824,11973
中国光伏,820,4857
太阳能组件,669,7690
太阳能灯,3090,73407
比亚迪新能源,592,16273
并网逆变器,449,4693
电动物流车,281,4696
纯电动客车,366,4378
太阳能控制器,635,9785
电动汽车电池,707,16470
光热,637,29496
新能源公司,3026,164427
光伏发电政策,769,6817
太阳能科技,397,7418
太阳能发电站,326,2723
太阳能热水,1409,107678
比亚迪电动车,436,6552
分布式发电,1101,9583
光伏工程,623,10224
奇瑞电动汽车,385,4005
光伏发电并网,447,4059
比亚迪秦,358,54245
光伏贷款,505,4536
北京电动汽车,476,5047
新能源电池,732,26020
古瑞瓦特,191,1673
电汽车,2724,192667
屋顶光伏发电,317,3816
mppt,221,3215
电动汽车报价,273,2660
双玻组件,253,2234
太阳能公司,1280,19048
路灯厂家,584,8458
绿色能源,227,10099
中国新能源,625,11560
