根词名称,行业词数量,长尾词数量
煤炭,23628,432901
煤炭价格,3317,14969
煤价,1241,6261
动力煤,1613,12170
中国煤炭,1188,12173
煤炭行业,770,15454
煤炭企业,727,17085
煤价格,2708,12697
山西煤炭,1181,20805
煤炭市场,475,4327
动力煤价格,306,1273
煤炭运输,624,7049
煤碳,329,6820
煤炭资源,414,8866
炼焦煤,328,2355
煤炭交易中心,276,2109
煤炭销售,386,9275
煤炭价格走势,357,1347
煤炭网,324,1268
喷吹,294,9725
电煤价格,238,1074
煤炭交易,784,4968
焦煤价格,331,1201
无烟煤价格,248,812
焦炭价格,378,2702
内蒙古煤炭,341,3658
煤炭行情,511,2121
煤的价格,7446,61344
煤炭公司,654,23179
煤炭工业,356,11174
褐煤,171,6554
块煤价格,184,657
原煤价格,152,740
山西煤,3637,104791
贵州煤炭,265,2305
煤炭价格行情,188,559
秦皇岛煤炭,311,1439
神木煤炭,226,1427
郑煤集团,149,4894
神木煤,1129,11952
产煤,384,12089
山东煤炭,301,5696
新疆煤炭,198,3026
长协价,113,819
神木煤矿,508,5783
煤炭信息网,216,878
煤炭供应,158,1689
烟煤价格,342,1198
煤炭工业局,70,2290
瘦煤,90,986
煤炭物流,139,2934
煤炭工业协会,71,769
蒙煤,189,3485
煤炭价格表,84,361
煤炭交易网,60,226
煤炭能源,164,3786
煤网,1340,25402
中国煤炭网,32,226
煤炭交易平台,54,261
煤是,62202,4676708
褐煤价格,41,167
王显政,37,245
焦炭价格走势,55,321
耗煤,340,28949
煤炭资源网,24,125
炼焦煤价格,31,109
中国煤炭进,1,58
动煤,87,11940
秦皇岛煤炭网,35,102
煤炭业,984,23715
山西煤炭价格,131,479
煤炭新闻,118,976
北京煤炭,66,2624
存煤,264,5904
东煤,264,22114
今日煤炭价格,72,235
新疆煤炭价格,47,197
榆林煤炭价格,52,141
陕西煤炭价格,91,319
焦煤现货价格,23,95
煤市场价格,75,538
bspi,13,86
中国煤炭报,12,383
无烟煤的价格,361,1385
煤炭供应商,21,311
卜昌森,14,355
煤市,719,84601
煤港,1427,13687
内蒙煤炭价格,81,263
煤会,627,39307
煤炭机械,18,1126
云南煤炭价格,31,86
煤卖,318,18525
产煤县,30,384
吉林煤炭,53,592
无烟煤报价,19,62
进煤,53,6806
煤炭销售网,10,44
煤炭工业网,27,351
陕西榆林煤矿,34,810
煤炭英才网,9,185
淘煤网,9,150
神华黄骅港,20,637
焦炭现货价格,6,143
宁夏煤炭价格,28,125
府谷煤炭价格,20,58
焦炭的价格,378,2702
西煤交易,12,122
万寨港,7,199
焦煤报价,17,94
神木阴,11,171
煤船,87,2060
煤库,34,791
神木瑶,8,131
外煤,14,2476
煤炭运费查询,14,64
俄煤,201,1872
各煤种,5,103
煤炭工,6,179
期煤,111,8945
煤碳工业,5,93
国家煤炭局,29,459
煤县,914,81115
煤煤,62202,4676708
白腊坪,4,80
代池坝,2,73
全国煤炭行情,8,26
国煤,528,10018
煤资,47,2519
煤产,384,12089
山西煤炭网,7,33
购煤网,46,604
煤矿安全网,3,364
煤九矿,22,1632
神木喷,5,52
曲剑午,2,54
泰普煤,0,9
招商煤炭,5,124
中国煤矿网,23,245
煤及,62202,4676708
煤炭科学技术,12,528
新屯矿,3,104
煤,62202,4676708
煤全,41,5872
焦肥,22,5839
锚地船舶,3,244
煤协,489,14175
四川煤炭价格,25,64
全煤,41,5872
煤大,1083,34894
产煤省,17,393
煤展,377,16575
裴沟矿,5,251
煤省,1668,66529
煤一,1142,121099
蒙冀线,1,36
煤求,29,1181
煤给,62202,4676708
煤亮,26,3713
煤信,86,6901
鄂尔多斯煤田,1,105
煤交,41,7619
网煤,1340,25402
煤长协,153,1253
煤矿招标网,0,182
煤至,25,1143
度长协,13,88
场存,5,717
各价区,2,36
煤供,51,1617
cci5500,22,81
采深超,9,34
中国煤炭科,2,911
cctd5500,3,21
单班入,4,194
禁收汽,3,8
严寅初,2,106
慧煤网,2,5
meitanjiage,2,3
meitan,1,96
