根词名称,行业词数量,长尾词数量
能源,61423,2189471
光伏,25676,782030
新能源,16927,1181876
能源局,6107,38801
国家能源局,2659,14257
协鑫,2583,34232
可再生能源,1377,15980
能源集团,4125,61172
中国能源,2095,15539
清洁能源,1309,31096
分布式能源,1098,12575
山东能源,2277,32520
能源公司,11490,349853
能源科技,1693,98028
新能源公司,4108,164427
智慧能源,766,7308
能源互联网,858,7653
集团有限公司,1610,1291349
国新能源,894,13779
光伏产业,607,11816
能源建设,652,5843
能源投资,1127,19664
枣矿集团,501,4937
绿色能源,558,10099
监管局,510,59888
光伏新能源,734,6691
晶科能源,509,4947
国家能源,4235,37918
光伏发电项目,451,10044
能源管理,1245,24036
中国能建,498,6174
山东能源集团,710,4759
太阳能光伏,632,34630
协鑫新能源,409,2197
中煤,795,105896
光伏行业,362,8543
动力工程,390,20057
电监办,280,1241
电监会,376,2141
能源监管,1000,4040
能源行业,496,6869
协鑫集团,289,3491
林洋,355,40580
新能源发电,365,5977
中国光伏,526,4857
中国新能源,666,11560
东方能源,267,2507
中能建,224,5801
新能源电池,401,26020
能源局局长,240,1234
新能源产业,283,15383
能源网,408,2385
生物质能,226,6217
枣矿,724,8451
电监局,227,1764
江苏电力,443,22248
能源开发,381,9985
京能,638,257600
中煤集团,276,12834
电力安全,675,74837
淄矿集团,165,1833
新能源行业,168,2957
新奥能源,254,3182
能源动力,230,8149
能源技术,355,13444
深圳能源,672,38414
矿业集团,241,27737
新能源项目,348,10871
氢能,145,34592
新能源开发,166,3771
山能,213,82373
氢能源,200,10186
新能源投资,231,6103
北京新能源,484,37779
中煤能源,294,5684
再生能源,1525,21300
临矿集团,148,2104
上海能源,981,40193
电力能源,162,2267
监办,802,66331
久泰能源,122,1141
电力安全生产,180,11098
上海新能源,407,27490
三峡新能源,121,2899
鹏辉,218,18266
能源经济,161,3143
能源化工,306,14481
能投集团,154,3290
可再生,1602,29551
12398,117,600
新能源技术,116,5975
肥矿集团,101,1865
能建,863,80733
能源所,341,5732
能源项目,895,21937
格盟,95,12650
可再生资源,100,5054
林洋能源,152,1386
电监,681,38509
京能集团,120,5039
广东火电,101,2447
华电新能源,62,522
能源管理系统,86,1854
鹏辉能源,104,1356
中国能建集团,111,1077
盛鲁,86,8010
龙矿集团,78,1784
能源系统,494,12600
能源服务,253,9877
煤炭能源,288,3786
新能源专业,116,7725
湖北能源,86,2752
京能新能源,116,1458
监局,1420,1135235
蒋庄煤矿,64,605
淄矿,223,3268
肥矿,162,11726
能源科学,78,2583
天富能源,54,941
东电一公司,61,674
山东煤矿,292,6804
浙江火电,60,1516
山能集团,88,1247
山东煤炭,122,5696
中国能源网,56,203
临矿,219,17260
浙江能源集团,89,1403
嘉化能源,51,710
拓日新能源,43,265
新能源网,65,1009
普莱德,40,3520
能源需求,51,867
能源供应,65,1306
合同能源,513,9351
久泰,158,7591
北京京能,236,151519
龙矿,128,24648
拓日,34,1556
国家电监会,46,207
中煤能源集团,86,750
新天,47,641477
新能源燃料,59,2523
太阳能新能源,115,1606
新能源设备,85,3610
协鑫光伏发电,44,184
能动,72,195011
大全新能源,35,479
嘉化,86,17756
晋能光伏,51,510
