根词名称,行业词数量,长尾词数量
纺织,26339,843061
面料,5856,536512
纺织品,3804,104868
纺织有限公司,5047,159281
纱线,2233,44348
化纤,2138,119819
棉纱,1909,27982
武汉纺织大学,1077,16636
纺织机械,1275,14122
轻纺,963,44652
纺机,938,16081
纺织业,914,18144
织机,2529,271650
坯布,846,10523
盛泽,1235,155509
中国纺织,1517,14254
氨纶,744,34312
毛纺,504,17519
粗纱,527,6815
纺织行业,859,17550
棉纺,509,25556
棉纺织,506,9525
纺织服装,929,22821
纺织企业,759,17095
细纱机,344,4442
纺织工业,413,9554
纺织面料,404,6913
剑杆,743,13200
腈纶,287,15782
剑杆织机,279,3663
中纺,310,10317
粗纱机,249,2730
喷气织机,289,4209
纺织公司,263,9743
纺织网,304,1691
纺织设备,133,1862
毛纺织,195,4789
涤纶长丝,181,3339
棉纱价格,249,1486
纺织原料,155,2226
中国纺织业,139,1412
中国轻纺城,106,1979
绍兴纺织,600,21513
梳棉,145,3455
喷水织机,106,5102
纱线价格,106,932
粘胶短纤,126,1103
魏桥纺织,107,1268
天虹纺织,85,2062
人棉纱,79,586
纯棉纱,60,843
纺织品检测,70,1857
中国纱线网,41,344
纺织大学,1211,25037
喷气织布机,74,914
武汉纺织,1185,19802
纱线网,85,627
中国纺织网,53,322
纺织学院,285,11947
化纤价格,163,1433
棉纱价格行情,55,202
纺织机械设备,35,390
产业用纺织品,52,545
氨纶价格,94,700
纺织仪器,72,874
纺织器材,57,1448
粘胶短纤价格,56,236
棉纺织业,37,1068
涤纶短纤价格,56,219
涤纶价格,337,2795
纺织产品,114,3715
坯布价格,45,396
中国纺织工业协会,17,53
化纤价格行情,37,127
坯布网,34,141
涤纶丝价格,43,265
面料网,79,2090
化纤行情,88,328
粘胶短纤维,20,452
化纤网,70,1431
粘胶价格,140,964
棉纺织技术,23,378
再生化纤,16,232
钱清原料市场,20,162
湖北纺织大学,26,605
锦纶切片价格,21,56
纺织原料价格,17,99
棉纱的价格,249,1486
中国绸都网,13,47
中华纺织网,12,74
纱价,43,1534
柯桥纺,44,1207
康平纳,19,536
聚酯切片价格,14,102
锦桥,27,30562
化纤原料价格,15,46
棉网,164,24322
第一纺织,45,931
纱展,18,2255
清梳,65,1035
锦桥纺织网,9,39
面料网站,18,361
腈纶价格,39,347
化纤信息网,12,211
纺企,110,3387
棉沙,25,13264
纺电,16,3029
cotlook,8,24
清梳联,50,595
中国化纤网,30,127
轻纺业,14,485
中国纺织总,0,10
搜布网,6,434
化纤信息,34,1396
盛泽涤,19,179
cntac,2,33
仪纶,7,297
曹欣羊,5,15
盛泽纺,52,519
濮院毛,15,3671
中国面料网,18,75
轻纺产品,5,50
中国棉纱网,6,26
毛纺业,21,375
涤短,25,550
涤纶行情,126,563
氨纶丝价格,9,93
棉织业,4,55
中国中纺,4,224
纺博,61,4562
布网,118,135778
吴济宏,3,179
纺绩,3,259
omniplus,4,17
3128b,11,81
纺展,120,2162
c32s,7,84
jwf1562,6,46
jwf1204,4,40
jwf1510,3,17
