根词名称,行业词数量,长尾词数量
机床,34499,464479
车床,23921,416286
加工中心,12505,186206
数控,32778,891187
数控机床,6777,96623
数控车床,7403,124676
磨床,8157,107929
铣床,9280,135204
线切割,6014,122830
机床厂,2442,26034
钻床,3619,50188
镗床,2253,23521
数控铣床,1734,25336
机床展,1046,8126
摇臂钻,1015,10831
普通车床,1101,18424
刀库,935,31474
数控车,1584,55578
沈阳机床,1473,13064
摇臂钻床,1114,8966
中走丝,1138,10511
立式,2721,262034
外圆磨床,1010,9386
线切割机床,828,6418
数控系统,901,23317
平面磨床,905,12100
数控加工中心,1136,12851
五轴,1292,60542
电火花,1600,36139
折弯机,976,41760
卧式,1964,110651
立式加工中心,619,4720
床身,647,8608
端面,879,39156
车削,676,30958
滚齿机,540,7654
动力头,630,9605
数控铣,471,14392
无心磨床,487,6489
二手机床,478,7456
防护罩,1388,23444
卧式加工中心,503,3847
火花机,541,17162
数控设备,578,18419
数控加工,3041,66348
立式车床,493,3931
龙门铣床,781,6484
龙门加工中心,525,3497
电火花线切割,344,2600
龙门铣,655,7567
仪表车床,619,6161
立车,575,31290
拖链,799,11441
立式铣床,647,5806
自动车床,709,14699
镗铣床,420,3246
钻铣床,463,4469
车铣复合,416,5124
走心机,412,6162
雕铣机,380,6314
内圆磨床,339,2318
数控机械,339,8713
哈斯,433,132360
垫铁,444,13590
摇臂,2470,53924
6140车床,405,5843
机床附件,309,4076
刨床,793,14596
大连机床,658,5588
卧式车床,384,3888
风琴防护罩,373,1593
铣削,422,16907
中走丝线切割,238,1313
五轴加工中心,387,4503
钻攻中心,329,3042
无心磨,774,14117
CNC,3308,160248
数控磨床,836,6191
立式钻床,311,2605
二手车床,476,5157
数控钻床,413,3895
插床,250,3804
万能铣床,477,4513
线切割机,292,6633
津上,175,41583
双头,293,201041
锻压机床,231,3620
车床价格,977,7939
机床销售,518,4759
机床设备,302,5380
穿孔机,288,4477
组合机床,226,3677
线轨,328,128574
牛头刨床,258,5840
铣头,436,7740
电脑锣,173,8753
卧式铣床,444,3316
铸铁平台,314,2243
机床主轴,411,6617
二手冲床,502,5572
机床配件,239,4098
插齿机,166,2222
数控车床价格,316,1936
炮塔铣床,258,3079
精密机床,316,3533
北一,276,116199
加工中心价格,386,2518
机床防护罩,329,1824
数控镗床,300,2212
内圆,512,18924
二手加工中心,380,2460
外圆,1412,53962
一机,389,1658723
z3050,161,1695
深孔,532,34844
攻机,318,88569
cnc机床,304,4571
平尺,239,33108
硬轨,187,2116
龙门刨床,174,1677
数控立车,193,2316
卧式镗床,213,2172
二手数控车床,282,2330
宝鸡机床,273,2178
钻铣,227,3423
工具磨床,179,1934
分度头,191,4360
机床维修,451,8199
数控机床维修,184,3194
t型槽,223,4049
珩磨机,126,1546
数控车床主轴,202,2576
数控龙门铣床,213,1687
铸铁平板,177,1064
直角尺,158,2015
数控仪表车床,175,931
护罩,1550,48192
平面磨,1164,20431
海德曼,128,2295
方箱,118,27282
双端面磨床,117,1163
塑料拖链,190,1593
主轴轴承,267,5673
钢板防护罩,153,854
排屑机,170,3295
导轨磨床,154,1194
电火花机床,103,914
沈阳数控车床,211,1360
斜轨,246,4607
钻攻,613,14216
淬火机床,131,870
导轨防护罩,145,636
二机,1305,638413
斗山机床,141,1279
二手铣床,482,3766
数控外圆磨床,138,705
电火花穿孔机,86,673
专用机床,153,2009
数控滚齿机,94,745
