根词名称,行业词数量,长尾词数量
扫地,1906,101466
洗地机,3087,15579
扫地机,3816,104902
清扫,1446,126445
扫地机器人,1443,61535
高压清洗机,1621,16082
清洗机,2941,92696
扫地车,1179,7996
凯驰,752,18093
清洁设备,616,11792
扫路车,552,3942
清扫车,866,8450
吸尘车,366,5798
洗扫车,268,3489
工业吸尘器,335,4162
高美,221,143629
洗地车,201,1579
道路清扫车,171,1358
手推式,420,9150
电动扫地车,184,1119
清洗设备,350,26393
高压洗车机,183,4953
智能扫地机,299,4780
黑猫清洗机,274,1699
驾驶式洗地机,168,596
全自动洗地机,158,705
超宝,83,27136
手推式洗地机,185,775
德国凯驰,156,1445
清扫机,163,2625
高压泵,145,13603
高压清洗,2290,29275
高压清洗泵,195,1707
清洁机,197,24303
威霸,128,23180
地机,7394,181967
洁驰,147,1304
蒸汽清洗机,113,2440
清洁车,130,16422
擦地机,112,2496
手推式扫地机,111,720
自动洗地机,247,1136
roomba,89,1998
科沃斯地宝,108,3142
自动扫地机,173,2116
电动扫地机,93,812
超高压清洗机,96,799
福玛特,73,5089
沙发清洗机,87,663
管道清洗机,109,1438
扫路机,61,930
电动清扫车,84,642
哈高,52,25895
刷地机,202,2754
吸尘吸水机,56,724
高压清洗设备,96,723
驾驶式扫地机,59,296
洗地机价格,113,559
手推扫地机,75,435
高压水清洗机,137,956
高压冲洗机,58,874
容恩,78,4786
扫路车价格,48,181
垃圾清扫车,37,442
环卫清扫车,43,441
驰洁,147,1304
明诺,59,20994
机器人扫地机,1443,61535
高压水清洗,179,2126
清洗泵,245,5567
保洁设备,64,2395
扫地机厂家,73,691
坦龙,31,10786
高压柱塞泵,35,2226
驾驶式扫地车,30,146
容恩洗,37,138
洗扫,435,11629
环卫扫地车,39,216
吸尘扫地机,87,1208
工业清洗机,73,1016
抽洗机,44,18336
扫路,759,11003
扫地机价格,63,1103
全自动扫地机,60,386
路驰洁,25,66
奥科奇,22,453
道路清扫机,24,246
管道高压清洗,114,1750
西安洗地机,52,154
扫地车视频,51,291
清扫车价格,50,255
小型扫地车,40,215
驾驶洗地机,197,749
梁玉玺,21,440
扫地车价格,27,238
鞋底清洁机,19,492
大功率吸尘器,36,844
冲毛机,21,466
扫车,2981,58607
清扫车报价,23,110
清洗设备厂,13,345
威卓,17,18998
小型洗地机,31,163
洗机,3783,1869806
重庆洗地机,26,69
扫刷,160,13142
气动吸尘器,25,185
真空吸尘车,14,115
工业用吸尘器,22,402
地霸,12,4045
机洗,3783,1869806
纯吸式,13,96
小型清扫车,34,333
中联重科,14,25576
奥洁斯,10,284
fimap,11,51
dulevo,10,27
福田扫路车,16,87
扫地车多少钱,12,101
推式,22,15475
苏州洗地机,37,60
水扫车,17,261
科力德,7,499
扫地吸尘器,18,277
扫地洒水车,23,149
凯驰官网,15,121
江淮扫路车,4,21
洗扫机,33,1086
扫地机洗地机,21,60
扫洗,435,11629
重庆金和洁力,5,6
扫机,439,72319
程力洗,13,111
卡吸尘,16,459
天锦洗,35,435
地车,1427,138143
清车,3,12283
福玛特机器人,17,636
手推式清扫机,7,56
奥仕洁,3,33
奥威克斯,3,439
gansow,3,7
北京高压清洗,50,216
洁弛,2,62
扫地机扫地车,3,18
车扫,2981,58607
机驾,35,57036
小区扫地车,2,32
驰清,3,2344
纯吸车,16,55
洗泵,317,23513
机洁,45,13337
gm56bt,3,7
e800fb,1,5
r50b,4,42
roomba500,2,6
环卫车清扫车,47,656
xd18w,2,12
gt55,16,152
ba531,4,29
gm50b,3,34
hakomatic,2,4
500bar,5,86
sd4bw754u,4,64
bds43,3,23
gm80p,3,34
gt180,3,49
ecovacs,5,1157
gaomei,2,75
ba530,1,27
gts1250,1,5
路面机械,7,6420
dn55,15,2303
ql380,16,372
de35,13,725
t300e,10,174
bd530bp,2,14
nt361,2,19
cy4t75,2,22
gd1018,2,14
m17b,0,8
hy50b,1,25
woma,2,296
rongen,2,20
gt110,7,119
gt115,5,60
soteco,2,33
diversey,2,138
cm600,2,133
湿扫车,11,279
