根词名称,行业词数量,长尾词数量
净化器,4334,251432
空气净化器,3334,129921
空气过滤器,679,11907
高效过滤器,675,8249
空气净化,4009,167053
初效,303,5070
中效过滤器,160,1873
中效,248,12344
初效过滤器,161,2102
过滤棉,160,23748
空气过滤,1067,22428
空气净化机,135,4200
过滤器厂家,169,4956
空气净化设备,82,2062
空气过滤网,98,1810
净化空气,4146,186557
净化机,202,14985
空气净化系统,51,2058
远大净化器,96,575
空调过滤器,27,2601
空气过滤棉,35,594
液槽,42,13876
远大新风机,18,352
高效送风口,34,1215
空调过滤网,22,9377
亚都净化器,82,1915
远大空气,115,811
泰拉蒙,25,993
粗效过滤器,24,268
空调净化器,117,1482
耐高温过滤器,40,386
空气净化公司,98,2285
粗效,31,744
远大空品,5,136
空气清洁器,16,793
初效滤,262,3478
风机过滤单元,8,132
亚高效过滤器,10,195
空气净化网,210,4565
活性碳过滤器,9,318
上海空气净化,16,183
空净,54,112555
空净器,16,811
亚都官网,2,152
空气滤器,2,309
效气,1,1893
中效袋,38,716
en779,1,165
fasflo,1,131
