根词名称,行业词数量,长尾词数量
烘干,1927,253214
油烟,1602,784968
垃圾桶,1667,173441
油烟净化器,747,20725
洗地机,903,15579
包子机,1247,11990
冰淇淋机,809,18860
烘干机,1257,86769
爆米花机,558,9952
馒头机,766,13798
开水器,629,30202
电热锅,452,25323
扫地机,583,104902
垃圾箱,252,40657
棉花糖机,355,2994
冰激凌机,293,8787
切菜机,301,5745
旭众,187,3330
洗涤设备,244,7606
扫地车,170,7996
油烟净化,997,31232
沙子烘干机,95,658
醒发箱,178,4227
不锈钢垃圾桶,126,2437
吉之美,112,2183
开水机,129,11197
全自动包子机,132,1163
一次性拖鞋,133,2519
果皮箱,80,4765
洗涤机械,113,1876
油烟净化设备,105,2389
塑料垃圾桶,131,4240
清洁设备,93,11792
汤圆机,124,932
煤泥烘干机,82,389
多功能电热锅,110,4134
驾驶式洗地机,81,596
垃圾桶厂家,151,3971
洗地车,47,1579
爆米花机器,122,2319
全自动洗地机,70,705
棉花糖机器,158,958
烙饼机,121,1944
冰淇淋机器,103,2764
手推式洗地机,92,775
仿手工煎饼机,70,316
吉之美开水器,76,655
醒发,299,82171
包子机器,224,2363
分类垃圾桶,105,6057
户外垃圾桶,89,1780
圆馒头机,75,782
汽车防滑垫,78,1384
炒货机,76,3869
洗衣房设备,85,1794
自动抛光机,87,2903
小型包子机,116,652
电开水器,63,3635
烫平机,56,2970
佳斯特,55,2467
烘干机设备,98,1843
烘干机厂家,162,2620
米花机,700,13083
蒸饭车,59,7516
滚筒烘干机,66,1774
餐饮设备,93,8381
烘干机价格,135,4341
河沙烘干机,35,311
环卫垃圾桶,46,2416
环保垃圾桶,64,2171
红豆饼机,47,385
擦地机,49,2496
全自动馒头机,60,692
洗衣设备,166,7019
冰激凌机器,58,1525
赛思达,47,565
包子机厂家,76,425
自动洗地机,106,1136
地机,1615,181967
冰淇淋机价格,68,643
旭众机械,59,709
软冰淇淋机,42,437
鸡粪烘干机,42,411
油烟过滤器,35,684
方馒头机,39,410
石英砂烘干机,33,115
花式棉花糖机,21,170
多功能切菜机,54,755
油烟净化机,58,2649
洗脱机,38,2103
转筒烘干机,46,334
水洗设备,59,3169
馒头生产线,28,275
洗涤设备厂,19,320
星崎制冰机,25,226
粉煤灰烘干机,30,102
航星洗涤机械,18,80
冰粥机,29,269
包子机视频,75,605
馒头机价格,64,676
清扫机,35,2625
电动扫地车,31,1119
手机防滑垫,24,282
包包子机器,36,324
砂子烘干机,14,86
宾馆用品,114,4623
面条机械,27,753
酒店客房用品,28,943
洗地机价格,46,559
煎饼机厂家,16,199
冰激凌机价格,25,191
不锈钢垃圾箱,14,334
褐煤烘干机,18,56
洗涤机,64,13682
不锈钢抛光机,31,1114
馒头设备,68,1646
广州食品机械,36,1043
银鹰,21,8291
汤圆机器,25,348
自动馒头机,96,1046
包子设备,61,1040
回转式烘干机,17,102
节能开水器,12,212
烘干机报价,33,357
驾驶洗地机,88,749
包子机全自动,132,1163
滚筒式烘干机,17,282
煎饼机全自动,126,1109
宾馆洗涤设备,19,296
工业油烟净化,26,330
麦可酷,9,276
盛毅牌,10,42
软冰机,69,859
环保垃圾箱,8,873
小型洗地机,15,163
做包子机,53,601
酒店洗涤设备,14,489
hecmac,9,240
油烟处理设备,14,563
包子机的价格,119,767
驾驶式扫地车,6,146
商用榨汁机,15,498
河砂烘干机,4,28
欧匠,7,1559
冰激凌机子,8,211
单鏊,6,23
洗机,1364,1869806
煤泥烘干设备,25,153
塑料垃圾箱,5,171
棉花糖设备,10,88
烘机,1354,122741
最小型包子机,6,26
盛毅面,20,68
路驰洁,5,66
艾迪卫,5,561
海斯源,4,183
彩色棉花糖机,4,11
包子机小型,116,652
馒机,774,14198
包包子机价格,3,19
烘乾机,4,43
回转窑烘干机,15,49
广东河粉机,3,10
扫地机洗地机,29,137
全自包子机,2,23
扫洗,70,5888
冰柜展示柜,4,2036
ne1756,5,116
shaam,3,58
花生烤箱,28,8267
馒头生产设备,3,184
