根词名称,行业词数量,长尾词数量
建材,25145,998217
木门,22157,491203
门窗,18169,767862
铝合金,13191,753887
涂料,11781,721302
建材市场,5017,156150
门业,5730,260410
油漆,5655,801398
楼梯,9010,1149234
移门,4912,172093
推拉门,5045,169600
生态木,3492,30281
防水涂料,2685,75462
塑胶地板,2542,25314
防水卷材,2591,106623
铝塑板,1984,58559
建筑材料,1726,116543
防腐木,1864,75680
实木门,3012,50480
铝单板,2926,28834
石英石,2409,92995
铝合金门窗,2269,64155
人造石,1547,28605
铝扣板,2487,52066
天花,4224,364845
防水材料,1978,71759
建材网,1410,6795
室内门,1820,37360
卷材,3550,163404
木塑,2247,29083
吸音板,1936,22442
自动门,1686,38115
外墙砖,1052,34254
防盗窗,1538,49198
扣板,4869,168980
密度板,1111,47109
钢木门,1520,12949
铝合金门,3585,93521
烤漆门,1661,23960
门板,1838,133108
木皮,1079,78942
包覆,980,25587
防火板,955,23343
套装门,1458,21518
灌浆料,1146,17639
地板价格,3137,51157
防静电地板,976,19867
铝方通,1265,14093
地胶,1272,63730
硅酸钙板,939,13821
木门价格,1818,18915
矿棉板,1145,18405
断桥铝门窗,1131,24651
塑木,741,9392
实木楼梯,1090,15766
免漆门,729,9548
新型建材,516,26267
中国建材,846,12299
烧结砖,809,28349
铝合金窗,4554,153875
文化石,835,24510
车库门,1136,46484
菠萝格,729,11991
门厂,2380,146210
实木复合门,684,9028
水泥板,887,31989
拉门,572,81937
方通,1879,58720
沥青瓦,592,6361
不锈钢门,1957,59734
木门厂,1241,20395
镀锌板,503,37861
竹地板,575,8627
木门厂家,1628,12779
板材价格,651,17047
原木门,851,10489
橡胶地板,438,4577
广场砖,408,8216
复合门,1128,15744
地板厂家,1867,21713
铝门窗,1659,34526
石塑地板,443,4921
吸音,820,36474
陶土砖,423,3401
感应门,933,22612
埃特板,386,7257
建材行业,414,16069
隔音窗,583,10187
生态门,736,13212
生态木吊顶,520,4403
铝门,667,11762
钢木楼梯,486,3308
