根词名称,行业词数量,长尾词数量
陶瓷,72841,1161095
瓷砖,56227,1432364
瓷器,11921,389343
地砖,7523,516608
景德镇陶瓷,4652,32867
仿古砖,2510,36870
陶瓷厂,3687,50595
磁砖,2567,53349
抛光砖,2282,25946
瓷片,2012,57288
大理石瓷砖,2441,23207
微晶石,2341,23290
全抛釉,1553,11536
木纹砖,1431,19713
陶瓷砖,1880,17673
佛山陶瓷,6011,36800
冠珠,2353,33401
墙砖,1328,204592
瓷砖品牌,4236,27610
瓷厂,4783,70054
中国陶瓷,2268,17507
新中源,1734,15793
景德镇瓷器,1890,13493
萨米特,1082,11350
冠珠陶瓷,800,7403
骨瓷,1361,23513
通体,1415,52495
宏宇,1555,70907
简一,1202,42963
宏宇陶瓷,654,4013
陶瓷品牌,3303,16591
瓷砖厂,1486,16585
通体大理石,717,10161
金意陶,596,7476
新中源陶瓷,526,3398
瓷抛砖,461,3918
金刚釉,690,3780
建陶,685,7644
淄博陶瓷,1163,10441
一线品牌,764,38242
陶瓷餐具,520,6824
全抛釉瓷砖,503,3129
陶博会,381,1598
陶瓷艺术,1263,12469
鹰牌,1063,38678
品牌瓷砖,4236,27610
景德镇瓷,6103,44988
日用陶瓷,387,4354
佛山瓷砖,2561,15976
瓷砖厂家,662,5642
冠珠瓷砖,573,7259
陶瓷公司,5488,60820
景德镇陶瓷学院,472,3014
陶瓷招聘,1837,16016
景德镇学院,846,7696
柔光砖,345,2379
宏陶,1718,17694
鹰牌陶瓷,333,2156
陶瓷薄板,342,2544
陶瓷茶具,464,4935
江西景德镇,508,22091
鹰牌瓷砖,361,2686
中国瓷器,642,10932
陶瓷花瓶,575,6212
美陶,1659,26399
内墙砖,310,5909
潮州陶瓷,628,9502
宏宇瓷砖,374,3445
瓷砖市场,802,10565
真石,286,22734
广东陶瓷,2713,17192
简一大理石,296,2673
新明珠,410,8473
建筑陶瓷,402,3611
萨米特瓷砖,309,3701
大花瓶,284,7104
嘉俊陶瓷,224,1020
骨质瓷,300,3990
陶瓷卫浴,486,4172
瓷砖排名,551,3495
