根词名称,行业词数量,长尾词数量
ic,9298,390680
电子,22288,11853269
元件,7975,276906
光耦,4302,39813
可控硅,4804,54329
元器件,4996,104285
贴片电阻,2718,24654
电子元件,2556,36450
电子元器件,2420,29981
器件,7819,198271
atmega,1700,8186
贴片电容,2204,25659
钽电容,1368,11537
ne555,1277,10598
tl431,1002,6559
lm358,925,9949
sot23,706,4333
lm317,898,6392
lm324,786,7283
tl494,708,5718
1117,2347,16503
atmel,783,4088
贴片三极管,867,6899
双向可控硅,763,6165
电源电路图,1796,18757
贴片二极管,943,8609
op07,472,3321
肖特基二极管,654,4724
贴片电感,671,5680
4558,770,6917
7812,822,5506
hef,558,2548
lm2576,265,1617
kbp,322,2728
nce,397,7527
1n4148,369,1861
uc3842,402,3155
pc817,356,2665
max232,338,2647
电子器件,421,10162
ne5532,386,2996
lm1875,357,3030
13003,478,2847
1n4007,352,2003
hcpl,493,1786
技术资料,352,21900
9014,492,5463
lm1117,180,978
74hc14,127,651
lm3886,286,2435
s8050,281,2736
avx,256,5513
lm386,292,1879
tlp521,210,1016
cd4017,282,1648
d882,234,1240
tja,431,2300
4148,1008,7361
快恢复二极管,306,1822
cd4011,199,1005
uc3843,208,1519
lm7805,245,1530
bta16,191,782
t1g,0,66
74ls00,206,1982
cd4060,222,1054
ir2110,217,1651
ua741,201,1517
7002,346,6117
c8t6,22,577
ncp,977,6209
max485,192,1816
l298n,237,6043
3904,430,2755
tl084,133,754
cd4069,205,783
ad620,190,1400
ft232,71,1370
acpl,235,857
二极管型号,594,3912
开关二极管,201,1539
74hc04,121,607
c2051,5,373
irf540,115,723
6n137,161,1075
njm,221,1099
ht1621,115,760
1n5819,158,695
c8n,0,15
sp3232,58,363
cd4013,137,806
dbvr,156,393
cd4051,141,787
电子市场,205,16068
pt2262,168,1296
4953,226,1436
精密电阻,174,1819
2222a,32,158
电器元件,188,7458
ss34,138,977
l298,116,1800
w25q64,49,711
8205,322,7063
pbf,210,2079
贴片钽电容,158,1005
l6562,66,545
el817,72,712
lm258,96,628
l9110,64,496
lm741,119,709
2n3904,131,646
ao3401,98,443
2n5551,126,669
cp10,3,278
cd4066,98,429
13007,237,1787
贴片电解电容,202,2047
2n3055,119,743
tip122,120,597
4069,456,2421
7550,145,5431
s9013,110,805
jqc,127,967
l7812,43,240
irf640,81,451
s9014,108,791
dc5v,75,1473
tip41c,113,726
k9f,6,112
24c04,83,555
13009,230,1572
lt1g,1,9
电子零件,96,2190
l293d,94,978
a1015,84,389
fr107,101,734
4580,175,3012
irf840,79,386
a1013,71,314
lm324n,102,725
mb6s,95,622
ad637,78,402
4066,333,2112
nte,19,3454
