根词名称,行业词数量,长尾词数量
电路,427756,2453694
单片机,152242,608600
stm32,74151,215592
电压,167013,1619104
芯片,141330,1079477
电源,220846,2510942
电路图,112905,582597
电流,137405,1488818
电容,141648,937791
变压器,88933,852284
电阻,119719,942654
电子,193676,11853269
原理图,62190,458200
模块,74645,1286036
传感器,107118,993227
ad,69121,790257
引脚,46816,186141
电池,142848,4899931
usb,61524,1780327
串口,54562,327710
变频器,64464,469174
接线,104377,1597153
封装,47859,344213
西门子,42513,726602
pi,5200,101922
功率,77546,1455705
工作原理,37814,593046
arm,37700,141050
连接,59043,7175015
天线,44602,500564
电感,39495,187371
fpg,45,1414
接线图,44658,531694
温度,54752,3246232
二极管,46626,227284
继电器,47230,440851
树莓派,34574,146202
中断,28734,332899
开关电源,30085,118279
直流,65814,641495
ic,38787,390680
pwm,22446,84465
总线,31367,157880
dsp,22906,115591
控制器,36591,566151
12v,25860,201871
蓝牙,40284,2437392
示波器,25241,104409
dc,17779,347538
can,19474,235884
半导体,30224,231974
三相,44828,499789
运放,18926,83946
51单片机,22103,102471
三极管,22579,103090
电路板,26106,206177
元件,32869,276906
代换,20079,110057
锂电池,28331,402256
晶振,20481,75337
充电器,35281,887364
步进电机,18920,105387
嵌入式,26143,191959
贴片,36032,249520
定时器,19161,130201
keil,19997,114692
逆变器,23271,143051
5v,16644,87692
数码管,16750,87340
射频,19275,163843
波形,18127,152894
物联网,19168,264426
adc,16876,209575
并联,20590,176689
mos,19743,103162
线圈,21249,285444
干扰,19018,318003
负载,17332,181106
滤波器,23042,113281
串联,17250,206201
mos管,11104,47526
放大器,25093,165392
拆解,13862,532919
altium,12788,34277
液晶,59041,702049
pic,11336,63759
管脚,11980,69691
阻抗,16233,125641
编码器,13731,110547
开发板,13236,48580
计数器,12808,114091
连接器,15312,108042
变频,90525,932047
集成电路,13673,83221
485,19533,165724
电子管,12468,67864
复位,12835,346206
放电,26086,376332
lc,14393,190161
隔离,15133,679964
器件,28508,198271
msp430,6735,14579
寄存器,12375,73258
元器件,15237,104285
滤波,42449,243856
lm,28755,186492
放大电路,15508,66712
选型,10465,185179
wincc,7857,72636
lte,10830,168935
ti,10807,600081
单相,17977,203342
tda,10875,46199
电容器,14764,118132
直流电机,11568,75520
光耦,10404,39813
avr,8905,33859
拆机,11092,633311
以太网,9348,95148
电路设计,12949,54679
stc,15898,69906
伺服,26165,300010
dxp,8809,57708
保险丝,11816,270258
降压,8469,277137
电平,13084,103247
可控硅,11936,54329
i2c,7842,25708
mcu,7684,30286
绕组,8289,60410
伺服电机,10502,96707
驱动电路,10285,34779
差分,6035,109768
液晶屏,11189,128708
hfss,7021,27839
晶体管,8889,50770
升压,12775,68801
端子,13877,189806
驱动器,11249,218241
微波,18927,672488
整流,25608,158506
5g,7952,273533
舵机,7036,41299
触发器,8913,86126
压力,25600,2234835
rfid,9547,69236
测试仪,14586,182772
稳压器,10016,57987
大功率,10180,169711
耐压,8856,81528
电位器,9285,49365
接触器,12175,149557
高压包,7889,44748
12864,7270,21865
地线,12605,197605
场效应管,7075,31553
功耗,11697,146208
modbus,7029,38773
pcb板,12076,83131
zigbee,7480,26126
阻值,9199,94590
线路板,9104,100323
电源板,8369,46461
温度传感器,7602,59779
背光,8784,149311
烧录,7596,56471
555,11621,172721
emc,6134,49119
稳压,24176,156565
ddr,6409,177999
焊盘,5781,35514
控制电路,9995,58294
调制,13834,322734
18650,7001,54019
存储器,7623,67508
胆机,7009,47340
蜂鸣器,7375,48138
电流互感器,7415,62513
规格书,6325,52590
gpio,5718,20227
霍尔,11054,152653
vhdl,6768,31313
热电偶,7077,58009
例程,5910,26545
rf,8140,97314
dma,5785,35089
tps,5354,36380
可调,9644,141228
mtk,6520,76547
前级,6049,105453
正弦波,6553,34055
电子元件,5880,36450
stm,129193,386657
ttl,6149,53011
fet,706,3690
电解电容,7099,36158
ads,8667,46111
走线,4250,142015
电鱼机,5039,21090
插头,8793,414669
电子产品,6695,153460
电子科技,6772,604770
比较器,6560,65478
飞思卡尔,5522,16751
rs485,4896,26305
cortex,4859,11369
正负极,5852,79320
恒流,4908,27434
无刷电机,6654,40217
dac,7137,62441
lm2,7,253
rs232,4950,25602
电路原理,17068,79370
电子元器件,5086,29981
过孔,4629,27852
纹波,4187,15891
互感器,15428,157704
热敏电阻,5040,27739
232,12559,121410
探头,6177,155324
压力传感器,5273,43767
jlink,4285,14347
磁芯,5784,44902
灯珠,6199,88245
48v,5210,69753
谐波,5844,50913
联发科,6697,64671
调光,8206,78428
谐振,9481,59446
代理商,4773,481422
iic,4309,18144
zynq,3941,10717
烧写,5063,42931
流水灯,4882,31368
