根词名称,行业词数量,长尾词数量
监控,103450,2062569
摄像头,39761,1674744
安防,27466,317496
摄像机,24833,451662
门禁,20388,319490
监控摄像头,10718,105048
报警,25477,1401712
硬盘录像机,6657,54625
报警器,10987,177311
录像机,13930,166012
视频监控,12843,158636
球机,4423,80622
中控,7163,732765
网络摄像机,3730,24731
监控系统,8388,136950
防盗,9451,910559
拼接屏,5321,40886
矩阵,4284,656098
网络摄像头,3560,47195
停车场,4486,814425
dvr,2577,32582
弱电,3366,209638
门禁系统,3968,43870
道闸,3409,70868
楼宇对讲,3365,26433
对讲,11186,343772
监控器,2890,52128
安防监控,3421,24707
远程监控,4045,53405
光端机,2742,18165
考勤机,3478,125676
监控视频,12843,158636
中维,3076,180381
宇视,2232,25163
拾音器,1866,37883
监控摄像机,2088,13148
监控安装,6998,85990
可视对讲,2821,26057
车牌识别,2513,34300
监视器,1989,52313
针孔摄像头,1401,14178
电子围栏,1720,13589
拼接,7253,300957
监控设备,2940,52225
安防工程,1835,19497
机房,1958,362316
报警主机,1542,17347
安全防范,1323,55391
海康录像机,2937,32259
中维世纪,1188,8348
安装监控,6998,85990
技防,1072,22648
报警系统,2695,68804
液晶拼接屏,1375,7377
云视通,1097,15458
无线摄像头,2104,29249
防盗器,1465,59439
闸机,1464,42345
无线监控,3122,27776
视频监控系统,1541,15391
安防系统,2035,18519
安防公司,3620,38422
防盗报警器,1197,8557
海康监控,2836,28344
光纤收发器,1028,17137
联网报警,1436,8181
安防展,800,4213
威视,19186,182679
红外对射,1129,32658
枪机,963,13237
可视,4920,225190
摄像头监控,10718,105048
无线网桥,899,10955
防范,2157,374679
安防资质,1187,9307
监控录像机,1434,13041
平安城市,852,9430
安防行业,775,5366
周界,897,6790
监控方案,3467,33461
巡更,2157,15642
磁力锁,903,8130
高清摄像头,1285,15704
雄迈,887,7734
中控考勤机,1249,20900
分配器,1145,31357
大华监控,1326,16068
捷顺,692,27317
可视门铃,994,10194
翼闸,751,4636
烟雾报警器,724,10872
针孔,2283,54827
摆闸,738,4660
装监控,1288,25494
冠林,732,24944
汉邦高科,706,4906
切换器,890,17521
停车场系统,1651,17541
高清摄像机,1405,11444
门禁控制器,707,5387
液晶拼接,2055,9745
高清监控,1415,10762
海康威视监控,1139,10278
身份证阅读器,579,6698
燃气报警器,921,15080
三辊闸,612,3322
门磁,1120,35207
中控智慧,426,7040
对讲系统,1522,15019
电磁锁,572,8860
安防设备,722,9592
大华录像机,1306,13877
监视,2654,156004
安检门,645,13338
海康摄像机,1656,14479
弱电工程,816,24499
车牌识别系统,573,7745
微型摄像头,671,7240
智能安防,1078,9413
ahd,536,4348
电插锁,513,3903
数字监控,1263,9849
监控摄像,13971,131899
高速球,750,4622
安防技术,653,6618
安博会,367,3063
安防监控系统,540,4191
防雷器,727,10539
波粒,484,13556
补光灯,535,18639
安防产品,514,3767
小区监控,1000,20517
监控安防,3421,24707
poe交换机,636,12840
防盗报警,2214,21158
安防企业,679,4474
监控工程,1273,16213
视频矩阵,704,5917
电控锁,452,4696
红外探测器,839,8062
安防市场,582,3014
微型摄像机,496,3864
液晶监视器,428,2095
对射,3591,8624779
中控门禁,849,6526
智能监控,1312,16797
半球摄像机,498,3802
巡更棒,428,3205
亚安,427,65480
收发器,1488,31757
监控立杆,452,4853
巨峰,381,43742
监控探头,492,5607
模拟摄像机,502,3915
身份证读卡器,422,4593
云台摄像机,567,8482
门禁机,523,5298
智能停车场,513,7671
中国安防,639,2466
监控电源,1138,18178
防盗系统,942,25343
针孔摄像机,393,2341
中控科技,408,8516
通道闸,688,6231
楼宇对讲系统,478,3984
无线传输,932,30992
乔安,402,46081
车载监控,673,5511
门禁安装,1070,12000
巡更系统,542,4019
安防报警,524,3409
