磁性开关	922	6.1e-05
松下伺服	1684	0.000111
离心管	1663	0.00011
螺杆空压机	3812	0.000252
在线监测仪	931	6.2e-05
透镜	1254	8.3e-05
组合开关	392	2.6e-05
防爆电器	578	3.8e-05
泰克示波器	561	3.7e-05
气泵	3382	0.000223
一恒	414	2.7e-05
贴片	16403	0.001084
网络分析仪	854	5.6e-05
钢芯铝绞线	480	3.2e-05
电容	36147	0.002388
力士乐	2470	0.000163
无尘	2802	0.000185
电源模块	1565	0.000103
电位差计	496	3.3e-05
热成像仪	1024	6.8e-05
摇臂钻床	383	2.5e-05
霍尔元件	591	3.9e-05
电子元件	533	3.5e-05
端子	11235	0.000742
冷凝器	1272	8.4e-05
光谱分析	1142	7.5e-05
电除尘	1443	9.5e-05
空分	234	1.5e-05
无纸记录仪	531	3.5e-05
温控器	6064	0.000401
排风机	765	5.1e-05
研磨	4116	0.000272
智能水表	1851	0.000122
电炉	2319	0.000153
防盗器	856	5.7e-05
电流传感器	853	5.6e-05
正压	1560	0.000103
制备	3648	0.000241
试验设备	1731	0.000114
电解电容	2559	0.000169
射线	5541	0.000366
除垢剂	435	2.9e-05
转子	5947	0.000393
排阻	431	2.8e-05
电抗器	3051	0.000202
无线传感器	552	3.6e-05
数字示波器	646	4.3e-05
测量仪	13929	0.00092
防火泥	477	3.2e-05
电感	10571	0.000698
刀开关	1162	7.7e-05
计数器	4789	0.000316
氘灯	594	3.9e-05
密封圈	3842	0.000254
搅拌罐	342	2.3e-05
罗斯蒙特	1301	8.6e-05
超声波液位计	585	3.9e-05
降尘	576	3.8e-05
无线监控	1086	7.2e-05
抗压	1027	6.8e-05
火灾探测器	602	4e-05
生化培养箱	728	4.8e-05
三丰	2196	0.000145
高效液相色谱	1328	8.8e-05
环保设备	3120	0.000206
琼脂糖凝胶	285	1.9e-05
聚氨酯发泡	789	5.2e-05
贴片二极管	885	5.8e-05
色谱柱	8174	0.00054
应力	3487	0.00023
高压蒸汽灭菌	538	3.6e-05
联网报警	823	5.4e-05
维氏硬度	1068	7.1e-05
记录仪	5227	0.000345
流量计	29734	0.001964
超低温	1683	0.000111
安川变频器	1457	9.6e-05
保护装置	1451	9.6e-05
百级	433	2.9e-05
离子交换树脂	817	5.4e-05
直流稳压电源	822	5.4e-05
报警	38664	0.002554
电子磅	658	4.3e-05
调速电机	1862	0.000123
光管	2268	0.00015
压力控制器	785	5.2e-05
高压发生器	515	3.4e-05
恒温水浴锅	760	5e-05
梅特勒托利多	1080	7.1e-05
摇臂钻	255	1.7e-05
照度计	940	6.2e-05
三坐标测量仪	458	3e-05
湿式报警阀	338	2.2e-05
变压	40802	0.002696
试块	1615	0.000107
绝缘手套	519	3.4e-05
微波消解仪	535	3.5e-05
储气罐	1511	0.0001
直埋保温管	722	4.8e-05
智能电表	2697	0.000178
岩棉	6115	0.000404
灭菌柜	402	2.7e-05
蛋白纯化	597	3.9e-05
步进驱动器	724	4.8e-05
运动控制器	230	1.5e-05
闸门	2377	0.000157
液位计	8421	0.000556
恒温	16304	0.001077
固相萃取	1530	0.000101
接近开关	3385	0.000224
低速	1377	9.1e-05
电泳槽	644	4.3e-05
分配器	2139	0.000141
冻干	1363	9e-05
传感器	74073	0.004894
制粒机	538	3.6e-05
显示仪	2248	0.000149
板式换热器	724	4.8e-05
电源线	2007	0.000133
安检机	344	2.3e-05
烘箱	4120	0.000272
装置	26611	0.001758
悬浮物	439	2.9e-05
液压站	676	4.5e-05
余氯	2017	0.000133
磁力钻	402	2.7e-05
微量	3902	0.000258
试剂瓶	374	2.5e-05
人民	775	5.1e-05
天根	510	3.4e-05
冲击试验	2704	0.000179
生物	22882	0.001512
频谱分析仪	604	4e-05
吸收塔	668	4.4e-05
电气	21482	0.001419
液压	27735	0.001832
保护开关	1265	8.4e-05
采样	9129	0.000603
电控柜	287	1.9e-05
筛网	1052	7e-05
可燃气体	2568	0.00017
柴油发电机	4265	0.000282
吸尘器	2858	0.000189
感温	1231	8.1e-05
检定	4279	0.000283
压力计	1140	7.5e-05
原子吸收光谱	909	6e-05
膜片联轴器	465	3.1e-05
小柱	454	3e-05
涡旋	1221	8.1e-05
硫化氢	1552	0.000103
光幕	853	5.6e-05
转染	910	6e-05
压片	2457	0.000162
乳化机	522	3.4e-05
防爆柜	827	5.5e-05
六氟化硫	733	4.8e-05
开关电源	5273	0.000348
凝胶电泳	547	3.6e-05
液位控制器	504	3.3e-05
冰水机	275	1.8e-05
压力	63696	0.004208
温度表	966	6.4e-05
引伸计	386	2.6e-05
电液	1821	0.00012
聚合酶	229	1.5e-05
崂应	746	4.9e-05
哈希	3804	0.000251
涡街流量计	1490	9.8e-05
橡塑保温	1385	9.2e-05
视频采集卡	437	2.9e-05
臭氧	6887	0.000455
起动	2111	0.000139
空压机	24155	0.001596
经纬仪	2822	0.000186
在线检测仪	905	6e-05
永磁同步电机	297	2e-05
热电阻	3839	0.000254
凋亡	748	4.9e-05
半导体激光器	258	1.7e-05
防爆等级	792	5.2e-05
机封	1222	8.1e-05
染色液	452	3e-05
盲样	263	1.7e-05
混合器	1375	9.1e-05
磁通	1898	0.000125
清洗机	6800	0.000449
测试仪	33961	0.002244
实验仪器	1628	0.000108
熔点仪	809	5.3e-05
分析测试	772	5.1e-05
拼接	4272	0.000282
干燥机	5806	0.000384
计量检定	403	2.7e-05
液相色谱	5145	0.00034
阳离子	944	6.2e-05
纳滤膜	286	1.9e-05
变频电源	798	5.3e-05
地磅秤	788	5.2e-05
直线电机	693	4.6e-05
混凝土搅拌机	563	3.7e-05
压缩机	13149	0.000869
色谱	27858	0.00184
钳形电流表	461	3e-05
影像测量仪	750	5e-05
力矩电机	415	2.7e-05
蒸汽流量计	862	5.7e-05
废气	5437	0.000359
电焊机	4341	0.000287
氮氧化物	460	3e-05
样本	8433	0.000557
