,category,data_num,success_num,cover_rate,accurcy,B2Baccurcy
0,五金配件,2,2,100.0,100.0,100.0
1,仪器仪表,7,7,100.0,100.0,100.0
2,休闲娱乐,96,93,96.875,73.118,102.151
3,保姆月嫂,27,18,66.667,44.444,133.333
4,保洁清洗,326,325,99.693,76.308,97.538
5,公司注册,301,300,99.668,79.0,92.667
6,其他教育培训,16,14,87.5,0.0,114.286
7,农林牧副渔,6,6,100.0,100.0,100.0
8,冶金矿产,7,7,100.0,100.0,100.0
9,出国劳务,13,12,92.308,83.333,108.333
10,化工能源,4,4,100.0,100.0,100.0
11,司机,4,4,100.0,75.0,100.0
12,外语培训,2,1,50.0,100.0,200.0
13,婴幼儿教育,3,2,66.667,0.0,150.0
14,学历教育,48,47,97.917,70.213,102.128
15,家居家纺,1,1,100.0,100.0,100.0
16,家电维修,623,623,100.0,66.453,99.839
17,工业设备,13,13,100.0,76.923,76.923
18,建材服务,373,358,95.979,33.52,36.872
19,开锁修锁,115,115,100.0,90.435,100.0
20,房屋维修,96,95,98.958,40.0,96.842
21,抵押车不过户车辆,9,9,100.0,100.0,100.0
22,招商加盟,43,22,51.163,31.818,195.455
23,拼车顺风车,2,2,100.0,100.0,100.0
24,搬家服务,534,533,99.813,94.559,97.373
25,新房出售,32,32,100.0,100.0,100.0
26,橡塑涂料,15,15,100.0,86.667,86.667
27,水暖电工,11,11,100.0,63.636,63.636
28,物业管理保安,1,1,100.0,100.0,100.0
29,物品回收,1202,1202,100.0,98.835,99.834
30,狗狗,7,7,100.0,100.0,100.0
31,猫猫,4,4,100.0,100.0,100.0
32,生活配送,36,36,100.0,69.444,88.889
33,电子元器件,4,4,100.0,100.0,100.0
34,电脑维修,40,40,100.0,82.5,100.0
35,白事服务,138,137,99.275,86.131,100.73
36,租车服务,233,227,97.425,82.819,102.643
37,管道维修,196,196,100.0,28.571,100.0
38,线缆照明,1,1,100.0,100.0,100.0
39,维修保养,34,34,100.0,91.176,100.0
40,网络安防,28,27,96.429,92.593,92.593
41,网络直播,4,4,100.0,100.0,100.0
42,美工设计,2,2,100.0,100.0,100.0
43,翻译服务,7,7,100.0,100.0,100.0
44,职业技能,55,54,98.182,75.926,101.852
45,设备租赁,182,179,98.352,87.709,100.559
46,货车,3,3,100.0,100.0,100.0
47,货运物流,114,111,97.368,87.387,99.099
48,过户验车,6,6,100.0,100.0,100.0
49,驾校服务,34,28,82.353,85.714,121.429
50,高价收车,19,19,100.0,100.0,100.0
51,total,5079,5000,98.445,78.72,95.16
