,category,data_num,success_num,cover_rate,second_accurcy,B2B_accuracy
0,五金配件,10,10,100.0,0.0,100.0
1,仪器仪表,8,8,100.0,75.0,100.0
2,农林牧副渔,1,1,100.0,100.0,100.0
3,冶金矿产,10,10,100.0,0.0,100.0
4,办公设备,1,1,100.0,0.0,0.0
5,化工能源,4,4,100.0,0.0,100.0
6,工业设备,68,67,98.529,5.97,100.0
7,工程车,1,1,100.0,100.0,100.0
8,建材服务,90,88,97.778,71.591,100.0
9,橡塑涂料,10,8,80.0,25.0,100.0
10,水暖电工,5,5,100.0,0.0,100.0
11,汽车配件,1,1,100.0,0.0,0.0
12,电子元器件,5,5,100.0,0.0,100.0
13,线缆照明,1,1,100.0,0.0,100.0
14,total,215,210,97.674,36.667,99.048
